Time (s),DX_32mm X-position (mm),DX_33mm X-position (mm),DX_34mm X-position (mm),DX_35mm X-position (mm),DX_36mm X-position (mm),DX_37mm X-position (mm),DX_38mm X-position (mm),DX_39mm X-position (mm),DX_40mm X-position (mm),DX_41mm X-position (mm),DX_42mm X-position (mm),DX_43mm X-position (mm),DX_44mm X-position (mm)
0.0,652.054,651.972,651.973,651.935,651.95,654.036,656.675,656.684,656.693,656.655,656.692,656.656,656.667
0.0001,652.047,651.989,651.98,651.913,651.94,654.022,656.695,656.683,656.704,656.689,656.679,656.682,656.679
0.0002,652.056,651.984,651.971,651.919,651.967,654.038,656.69,656.698,656.696,656.689,656.677,656.661,656.67
0.0003,652.054,651.966,651.98,651.911,651.963,654.028,656.698,656.675,656.702,656.689,656.692,656.676,656.662
0.0004,652.049,651.981,651.954,651.919,651.939,654.021,656.69,656.668,656.705,656.696,656.687,656.642,656.667
0.0005,652.066,651.985,651.98,651.903,651.923,654.015,656.713,656.704,656.687,656.681,656.667,656.678,656.658
0.0006,652.073,651.962,651.981,651.938,651.932,654.02,656.69,656.693,656.737,656.691,656.674,656.651,656.675
0.0007,652.1,651.966,651.961,651.911,651.958,654.005,656.687,656.679,656.713,656.709,656.661,656.691,656.692
0.0008,652.065,652.002,651.983,651.931,651.948,654.013,656.68,656.685,656.679,656.689,656.694,656.676,656.654
0.0009,652.073,651.984,651.988,651.927,651.958,654.021,656.708,656.67,656.703,656.706,656.66,656.675,656.652
0.001,652.039,651.989,651.973,651.938,651.95,654.03,656.695,656.683,656.719,656.708,656.685,656.69,656.67
0.0011,652.065,651.964,651.989,651.938,651.967,654.007,656.677,656.706,656.706,656.701,656.694,656.665,656.684
0.0012,652.04,651.967,651.983,651.929,651.955,654.023,656.707,656.673,656.688,656.699,656.694,656.668,656.64
0.0013,652.04,651.991,651.988,651.936,651.931,654.047,656.696,656.695,656.724,656.673,656.669,656.659,656.682
0.0014,652.06,651.966,651.971,651.904,651.975,654.028,656.705,656.656,656.705,656.681,656.682,656.685,656.701
0.0015,652.065,651.972,651.98,651.904,651.948,654.003,656.705,656.683,656.687,656.676,656.669,656.677,656.66
0.0016,652.047,651.974,651.955,651.919,651.942,654.045,656.688,656.704,656.713,656.672,656.681,656.66,656.658
0.0017,652.066,651.963,651.963,651.904,651.966,654.011,656.713,656.719,656.729,656.681,656.667,656.678,656.648
0.0018,652.056,651.974,651.99,651.936,651.959,654.021,656.69,656.7,656.712,656.668,656.66,656.688,656.685
0.0019,652.049,651.966,651.954,651.911,651.954,654.03,656.69,656.703,656.729,656.691,656.659,656.675,656.652
0.002,652.066,651.964,651.971,651.955,651.932,654.02,656.705,656.663,656.722,656.683,656.669,656.66,656.657
