Oscilloscope time (ms),Measured current through coilpair 1 scaled by factor K_1 = 3 (A),Measured current through coilpair 2 scaled by factor K_2 = 3 (A),Measured current through coilpair 3 scaled by factor K_3 = 4 (A),Measured current through coilpair 4 scaled by factor K_4 = 4 (A),Measured current through coilpair 5 scaled by factor K_5 = 4 (A)
-2.0,1.44375,1.44375,1.605,1.285,1.285
-1.96,1.68375,1.68375,1.605,1.285,1.285
-1.9200000000000002,1.44375,1.44375,1.605,1.605,1.605
-1.88,1.68375,1.44375,1.605,1.605,1.605
-1.84,1.44375,1.68375,1.605,1.605,1.285
-1.8,1.2037499999999999,1.2037499999999999,1.605,1.605,1.285
-1.76,1.44375,1.44375,1.605,1.605,1.605
-1.72,1.44375,1.44375,1.285,1.605,1.285
-1.6800000000000002,1.44375,1.44375,1.605,1.605,1.605
-1.64,1.2037499999999999,1.2037499999999999,1.605,1.605,1.605
-1.6,1.44375,1.68375,1.285,1.605,1.605
-1.56,1.44375,1.68375,1.285,1.605,1.605
-1.52,1.68375,1.44375,1.605,1.605,1.605
-1.48,1.44375,1.44375,1.605,1.605,1.605
-1.4400000000000002,1.68375,1.68375,1.605,1.605,1.605
-1.4,1.44375,1.68375,1.605,1.605,1.285
-1.36,1.44375,1.68375,1.605,1.925,1.605
-1.32,1.44375,1.68375,1.605,1.925,1.605
-1.28,1.44375,1.68375,1.605,1.605,1.605
-1.24,1.44375,1.68375,1.605,1.285,1.285
-1.2,1.44375,1.44375,1.605,1.605,1.605
-1.16,1.44375,1.44375,1.605,1.285,1.285
-1.1199999999999999,1.44375,1.68375,1.605,1.285,1.605
-1.08,1.44375,1.44375,1.605,1.605,1.605
-1.0399999999999998,1.68375,1.44375,1.605,1.605,1.605
-1.0,1.44375,1.68375,1.605,1.285,1.605
-0.9600000000000001,1.44375,1.44375,1.605,1.605,1.605
-0.92,1.44375,1.68375,1.605,1.285,1.285
-0.88,1.44375,1.44375,1.605,1.285,1.285
-0.8400000000000001,1.44375,1.44375,1.285,1.925,1.605
-0.8,1.68375,1.44375,1.285,1.605,1.605
-0.76,1.68375,1.44375,1.285,1.285,1.605
-0.7200000000000001,1.44375,1.44375,1.605,1.605,1.605
-0.68,1.44375,1.44375,1.605,1.605,1.285
-0.64,1.44375,1.44375,1.605,1.285,1.285
-0.6,1.68375,1.44375,1.605,1.605,1.285
-0.5599999999999999,1.44375,1.44375,1.285,0.965,1.605
-0.5199999999999999,1.2037499999999999,1.44375,1.285,1.285,1.605
-0.48000000000000004,1.44375,1.44375,1.925,1.605,1.285
-0.44,1.68375,1.44375,1.605,1.605,1.605
-0.4,1.2037499999999999,1.44375,1.605,1.605,1.605
-0.36000000000000004,1.44375,1.44375,1.605,1.605,1.605
-0.32,1.44375,1.68375,1.605,1.285,1.605
-0.27999999999999997,1.68375,1.44375,1.285,1.605,1.605
-0.24000000000000002,2.40375,1.44375,2.885,2.245,1.605
-0.2,3.3637500000000005,1.68375,4.165,3.525,1.605
-0.16,4.56375,1.44375,5.765,4.805,1.925
-0.12000000000000001,5.52375,2.64375,7.045,7.045,3.845
-0.08,6.72375,4.80375,8.005,8.325,6.405
-0.04,7.68375,6.72375,9.285,10.245,8.325
0.0,8.64375,8.40375,10.565,11.205,10.565
0.04,9.36375,10.08375,12.165,12.805,12.485
0.08,10.08375,11.76375,13.125,14.725,14.725
0.12000000000000001,11.28375,13.68375,14.085,16.005,16.645
0.16,12.00375,15.12375,15.045,17.285,18.245
0.2,12.723749999999999,16.80375,16.005,18.565,20.485
0.24000000000000002,13.443750000000001,18.24375,17.285,19.845,22.085
0.27999999999999997,14.403749999999999,19.923750000000002,18.565,21.125,23.685
0.32,15.12375,21.36375,19.525,22.725,25.605
0.36000000000000004,15.84375,22.56375,20.485,23.685,27.205
0.4,16.32375,24.003750000000004,21.125,24.325,28.485
0.44,17.52375,25.443749999999998,21.765,25.605,29.765
0.48000000000000004,18.00375,26.40375,22.725,26.565,31.045
0.5199999999999999,18.96375,27.84375,23.685,27.525,32.325
0.5599999999999999,19.68375,29.28375,24.325,28.165,32.965
0.6,20.16375,30.243750000000002,25.285,29.445,34.245
0.64,20.88375,31.443749999999998,25.605,30.085,34.885
0.68,21.603749999999998,32.64375,26.245,30.725,35.845
0.7200000000000001,22.32375,33.84375,27.205,30.725,36.805
0.76,23.043750000000003,34.80375,27.525,31.685,37.765
0.8,23.52375,35.76375,27.845,32.645,38.405
0.8400000000000001,24.003750000000004,36.96375,28.485,33.285,39.045
0.88,24.48375,37.683749999999996,29.125,33.285,39.365
0.92,25.20375,38.64375,29.445,33.925,40.005
0.9600000000000001,25.683749999999996,39.60375,29.765,34.565,40.325
1.0,26.16375,40.80375,30.085,34.885,40.645
1.0399999999999998,26.643749999999997,41.52375,30.725,34.885,40.965
1.08,27.12375,42.72375,30.725,35.205,41.605
1.1199999999999999,27.603749999999998,43.443749999999994,31.045,35.525,41.605
1.16,28.32375,44.40375,31.045,35.525,41.925
1.2,28.56375,45.363749999999996,31.365,35.845,42.245
1.24,29.043750000000003,46.08375,31.685,36.165,42.245
1.28,29.76375,46.80375,32.325,36.165,42.565
1.32,30.003750000000004,47.28375,32.325,36.165,41.925
1.36,30.48375,48.00375,32.325,36.165,42.245
1.4,30.723750000000003,48.48375,32.325,36.485,41.925
1.4400000000000002,31.20375,48.96375,32.645,36.165,41.925
1.48,31.683749999999996,49.68375,32.645,36.165,41.605
1.52,31.92375,49.92375,32.645,36.485,41.285
1.56,32.16375,49.92375,32.645,36.165,41.605
1.6,32.64375,49.92375,32.325,36.165,40.965
1.64,33.12375,49.92375,32.325,35.845,40.645
1.6800000000000002,33.12375,49.92375,32.645,35.845,40.645
1.72,33.60375,49.92375,32.645,35.845,40.005
1.76,33.60375,49.92375,32.325,35.525,39.685
1.8,34.08375,49.92375,32.325,35.525,39.045
1.84,34.56375,49.92375,32.005,35.205,38.405
1.88,34.80375,49.92375,32.005,35.205,38.085
1.9200000000000002,35.28375,49.92375,32.005,35.205,37.765
1.96,35.52375,49.92375,32.005,34.565,37.445
2.0,35.52375,49.92375,31.685,34.245,36.805
2.04,36.003750000000004,49.92375,31.685,33.925,36.485
2.0799999999999996,36.003750000000004,49.92375,31.365,33.925,35.845
2.12,36.48375,49.92375,31.045,33.285,35.205
2.16,36.72375,49.92375,31.365,32.965,34.885
2.2,36.72375,49.92375,30.725,32.645,34.245
2.2399999999999998,36.96375,49.92375,30.405,32.325,33.605
2.28,36.96375,49.92375,30.085,32.005,33.285
2.32,37.20375,49.92375,30.085,31.365,32.645
2.3600000000000003,37.443749999999994,49.92375,29.765,31.365,32.005
2.4,37.443749999999994,49.92375,29.765,31.045,31.685
2.44,37.683749999999996,49.92375,29.445,30.405,30.725
2.48,37.92375,49.92375,29.125,29.765,30.405
2.52,38.16375,49.92375,28.805,29.765,29.445
2.56,37.92375,49.92375,28.485,29.125,29.125
2.6,38.16375,49.92375,28.165,29.125,28.165
2.64,38.40375,49.92375,27.845,28.165,27.845
2.68,38.16375,49.92375,27.525,27.845,27.525
2.72,38.16375,49.92375,27.525,27.845,26.565
2.76,38.64375,49.92375,27.205,27.205,25.925
2.8,38.40375,49.92375,26.885,26.885,25.605
2.84,38.88375,49.92375,26.245,26.245,24.645
2.8800000000000003,38.88375,49.92375,26.565,26.245,24.005
2.92,38.88375,49.92375,25.605,25.605,23.685
2.96,38.88375,49.92375,25.285,24.645,23.045
3.0,38.64375,49.92375,24.965,24.325,22.725
3.04,38.88375,49.92375,24.645,24.005,21.765
3.0799999999999996,38.88375,49.92375,24.325,23.685,21.445
3.12,39.12375,49.92375,24.005,23.045,20.805
3.16,39.12375,49.92375,23.685,23.045,20.165
3.2,38.88375,49.92375,23.365,22.725,19.525
3.2399999999999998,39.12375,49.92375,23.045,21.765,19.525
3.28,39.12375,49.92375,22.725,21.445,18.885
3.32,39.12375,49.443749999999994,22.405,21.125,18.245
3.3600000000000003,38.88375,49.20375,21.765,20.805,17.605
3.4,38.88375,48.96375,21.765,20.485,17.605
3.44,38.88375,48.72375,21.445,20.165,16.645
3.48,39.12375,48.243750000000006,21.125,19.525,16.325
3.52,39.12375,47.76375,20.485,18.885,16.005
3.5599999999999996,38.88375,47.52375,20.485,18.885,15.685
3.6,38.88375,47.04375,19.845,18.565,15.045
3.64,38.88375,46.80375,19.525,17.925,14.725
3.68,39.12375,46.323750000000004,19.205,17.925,14.405
