Frame (processed), Time (ms), Calculated velocity X (m/s), Calculated velocity Y (m/s), Calculated velocity Z (m/s)
1,0.0,0.0002292270505677152,0.002797779488332708,-0.0036264876231939525
2,0.0001,0.00033144368501325516,0.004075625576831499,-0.005256126967481123
3,0.0002,0.000494646613447003,0.0064640522688819155,-0.008225179146421624
4,0.0003,0.0005721318012774645,0.008435739666765585,-0.010522607036165255
5,0.0004,0.0005243821516387469,0.01000939263406053,-0.012142072157246274
6,0.0005,0.0003089740590667135,0.0113025150361068,-0.013219799413235483
7,0.0006,-0.00010597059656447529,0.01251671116307307,-0.013980880155628485
8,0.0007,-0.0007626418937434206,0.013987829302379844,-0.014743431404724554
9,0.0008,-0.0016673186109983364,0.015895463963033766,-0.015695324495226263
10,0.0009,-0.002804894939458791,0.018373973257155285,-0.01695754036958874
11,0.001,-0.004140293046361874,0.021432098433535874,-0.018531615969550323
12,0.0011,-0.005598198259235691,0.024844319093801928,-0.02022683772295865
13,0.0012,-0.007080301029418483,0.028265707555590342,-0.021813598460340713
14,0.0013,-0.008505327219836541,0.031250229926911274,-0.023047658015116202
15,0.0014,-0.009781138339235435,0.03338525660012691,-0.023661032935535776
16,0.0015,-0.010841666083365448,0.03437642570872866,-0.023500796032038796
17,0.0016,-0.011661996019256556,0.0341294249679436,-0.022553764427613046
18,0.0017,-0.012213504925853165,0.0327743962301952,-0.02087866767880088
19,0.0018,-0.012464497060022945,0.030585151726540957,-0.01861951382551296
20,0.0019,-0.012349219183533927,0.02787010801597488,-0.015957085121982566
21,0.002,-0.011764721658096285,0.024818459580728827,-0.013000025115132994
22,0.0021,-0.010586240673546849,0.021406080288102192,-0.009762343419623672
23,0.0022,-0.008678599031668451,0.01743036877684289,-0.0061717563259833215
24,0.0023,-0.005953555902920025,0.012559920883177277,-0.002074769411990477
25,0.0024,-0.002441879448724648,0.006467693387719462,0.002626743714557732
26,0.0025,0.0016972941051562878,-0.0009379292339417584,0.007906034032885142
27,0.0026,0.006172820883989513,-0.009426179550473531,0.013596286922563644
28,0.0027,0.010596481376978767,-0.01842756397820721,0.01933186233856076
29,0.0028,0.014533204296185456,-0.02710116461400962,0.024565438264403425
30,0.0029,0.017591790686992674,-0.0345420610025826,0.02872609894950527
31,0.003,0.019493594598998236,-0.039953347711616495,0.031341707015428696
32,0.0031,0.02010144295752524,-0.0428320174228247,0.03209569045395709
33,0.0032,0.019447985790179693,-0.04306076338139062,0.03091418981881587
34,0.0033,0.017705361798334738,-0.040884661284224036,0.027995241022722488
35,0.0034,0.015132068124330537,-0.036840039136336586,0.02372875432953946
36,0.0035,0.012016152624028104,-0.03159243143983302,0.018595045398086534
37,0.0036,0.008637418313242048,-0.025810035240567675,0.013119459083696933
38,0.0037,0.005243643439598597,-0.020072577718508445,0.007797297447638126
39,0.0038,0.0020338771150818537,-0.014791385173680307,0.0030267716681464715
40,0.0039,-0.0008555504865626058,-0.010163914930387813,-0.0008826889501278852
41,0.004,-0.0033049754222247343,-0.006314297545770825,-0.003709115024150823
42,0.0041,-0.0052185816741712274,-0.0032845047618934643,-0.005332332570020535
43,0.0042,-0.006540978745874793,-0.0010129681561466004,-0.005703135407770797
44,0.0043,-0.007241011061864791,0.0005460520230826646,-0.004893131166880936
45,0.0044,-0.007321033418747914,0.001435060789560796,-0.00308038115321097
46,0.0045,-0.006827053539950623,0.0016995959964560853,-0.000493343679153214
47,0.0046,-0.005860747621113645,0.0014560127331719704,0.0025189888347654167
48,0.0047,-0.004542431407230659,0.0008074833607452105,0.005596845475253086
49,0.0048,-0.0029967041780310007,-0.00015850412609097502,0.008471186404648293
50,0.0049,-0.0013731851151987905,-0.0011944859136292477,0.010833857777186012
51,0.005,0.00020450585793696467,-0.0021143159423786476,0.012518242807857374
52,0.0051,0.0016614590009567138,-0.0027359704961327272,0.013490561784692568
53,0.0052,0.002950198065150294,-0.002896060184127696,0.01376660042140545
54,0.0053,0.004031149679803992,-0.002503917997671572,0.013481725542021615
55,0.0054,0.004872866730920585,-0.0014879042618076734,0.01280461245826816
56,0.0055,0.005437766741351888,9.508366929367201e-05,0.011889548484020926
57,0.0056,0.005665978137017177,0.002161977857042524,0.010852393813109956
58,0.0057,0.005479808040149701,0.004586745783115028,0.009750788596676345
59,0.0058,0.004799422973746922,0.007233574971792235,0.00853336283995533
60,0.0059,0.0035847125030841103,0.009997952109301851,0.007093193892302433
61,0.006,0.0018223156473595686,0.012807932036196202,0.005222350231690585
62,0.0061,-0.00044101418609443575,0.015613206787179505,0.002666000752924451
63,0.0062,-0.003057265913639645,0.018348325184263135,-0.0007386830280609059
64,0.0063,-0.0058074816377029345,0.020890957160020155,-0.005057546194962002
65,0.0064,-0.008438530667831415,0.02303979924960235,-0.010194166648034315
66,0.0065,-0.01066326262446184,0.024505376322281378,-0.015816607817953382
67,0.0066,-0.012243611142252999,0.024932005300968223,-0.021462232740390108
68,0.0067,-0.01302228389647555,0.02401377226533445,-0.02660173617925925
69,0.0068,-0.012936679696622398,0.0214951041638756,-0.03064889220013361
70,0.0069,-0.012070745333403434,0.01733459456374926,-0.0331530998623463
71,0.007,-0.01059815605003675,0.011818406384520556,-0.033878860371174734
72,0.0071,-0.008749132809384733,0.005438997812916577,-0.032791250207111544
73,0.0072,-0.006772438841835549,-0.001075825232703666,-0.03008389246858206
74,0.0073,-0.004895897733945264,-0.006877177862065747,-0.026152628128954736
75,0.0074,-0.0032868766135152384,-0.011192537694171297,-0.02153407470032679
76,0.0075,-0.0020305168874301706,-0.013418507978428829,-0.016782916294175748
77,0.0076,-0.0011723634258942153,-0.01323552228456034,-0.012434121959898872
78,0.0077,-0.0007162346975064805,-0.010684072670983386,-0.008936640406602707
79,0.0078,-0.0006355735104079924,-0.006122321654231639,-0.006565781820739841
80,0.0079,-0.0008895778495343596,-0.0002006435553880687,-0.005391524662883271
81,0.008,-0.001413455651118065,0.006251915614541342,-0.005263897131300187
82,0.0081,-0.0021231901251894613,0.012350089403412281,-0.005807280974750014
83,0.0082,-0.002905867312392722,0.017224860581279654,-0.006524738280120329
84,0.0083,-0.003611906590208513,0.020155342593284453,-0.00686867512328608
85,0.0084,-0.004093093544952343,0.020676683529927634,-0.0062959616940361065
86,0.0085,-0.004205463002335808,0.018595630257607305,-0.004417682261959033
87,0.0086,-0.00383380260188917,0.014055619270152505,-0.001040898531528007
88,0.0087,-0.0029321675674509533,0.00754705539719678,0.0037812314695884097
89,0.0088,-0.00151028052243873,-0.00022075886562333776,0.00973194249127116
90,0.0089,0.00036835758010056674,-0.00837993348568494,0.01630863018945671
91,0.009,0.0025896225389487816,-0.01603071029592225,0.02288567509708622
92,0.0091,0.00498975591938232,-0.022391158375683003,0.028755834746476618
93,0.0092,0.0073660606886960965,-0.02687316650394694,0.033245011775875556
94,0.0093,0.009473122845520241,-0.02910022597092158,0.03577118744829013
95,0.0094,0.011081910822667823,-0.029027439108517607,0.03595146905524862
96,0.0095,0.011987408107643278,-0.026863923652627072,0.03364400835735658
97,0.0096,0.01202554602798497,-0.022953494129467285,0.028983008022720393
98,0.0097,0.011148756003080934,-0.017823703809369772,0.022412887607288153
99,0.0098,0.009417346619784415,-0.012077613797316613,0.01456792132032088
100,0.0099,0.007015821747700083,-0.006325033099017202,0.006263722160468872
101,0.01,0.004247908492516243,-0.001149980199102181,-0.0015895977733748718
102,0.0101,0.0014971747805247976,0.002957769686418025,-0.008117113246299802
103,0.0102,-0.0008384170837416583,0.0056719025857887425,-0.012601690442011171
104,0.0103,-0.00240681323475657,0.006841994767228285,-0.014542110467914515
105,0.0104,-0.002953084820092037,0.006509892932911027,-0.013680151672446038
106,0.0105,-0.002375299236518907,0.004916576760649592,-0.010111117403965838
107,0.0106,-0.0007580777861448996,0.0024609321044977302,-0.0042651562834805905
108,0.0107,0.001648034457275567,-0.0003785229205277564,0.0031534182119230454
109,0.0108,0.004445565939477081,-0.0031161363008891307,0.011210680376763064
110,0.0109,0.0071527801924276425,-0.005288237267677719,0.018855297815037034
111,0.011,0.009318747542579307,-0.006612389439339932,0.025117903320079838
112,0.0111,0.010569867840217712,-0.006987220637313366,0.029193839391154972
113,0.0112,0.010670016603171526,-0.00638211998762021,0.03052218033701611
114,0.0113,0.009579199434597261,-0.004996344633241266,0.028902096460967565
115,0.0114,0.007439900874146568,-0.003089871650558954,0.02446720665020046
116,0.0115,0.004509476547127661,-0.000854225222326482,0.017606027374199692
117,0.0116,0.001121940092048132,0.0014945684313261115,0.008891322885489194
118,0.0117,-0.002372373058960869,0.003827409361178969,-0.000972853817842176
119,0.0118,-0.005679117224985915,0.006142222891298827,-0.01124000426557356
120,0.0119,-0.008567799042111779,0.008517666256864209,-0.02118633091939154
121,0.012,-0.010885630081816155,0.011065949941553367,-0.030121475837461456
122,0.0121,-0.01255370696696897,0.013889449947157535,-0.03740110101375639
123,0.0122,-0.013538423605154969,0.017037477009864643,-0.04250723759895425
124,0.0123,-0.013845234238942877,0.020442209420821325,-0.0450612780588247
125,0.0124,-0.01351706181083042,0.023878820861113974,-0.04491046109819751
126,0.0125,-0.012609007387709393,0.027001860165682887,-0.04215585839673952
