Oscilloscope time (s),Measured current through coil-pair 2 (A) with SD2
-0.002000,0.401250
-0.001960,0.401250
-0.001920,0.401250
-0.001880,0.401250
-0.001840,0.401250
-0.001800,0.321250
-0.001760,0.481250
-0.001720,0.401250
-0.001680,0.401250
-0.001640,0.401250
-0.001600,0.401250
-0.001560,0.401250
-0.001520,0.401250
-0.001480,0.401250
-0.001440,0.401250
-0.001400,0.401250
-0.001360,0.401250
-0.001320,0.481250
-0.001280,0.401250
-0.001240,0.401250
-0.001200,0.321250
-0.001160,0.401250
-0.001120,0.401250
-0.001080,0.401250
-0.001040,0.401250
-0.001000,0.401250
-0.000960,0.401250
-0.000920,0.401250
-0.000880,0.401250
-0.000840,0.401250
-0.000800,0.401250
-0.000760,0.481250
-0.000720,0.401250
-0.000680,0.401250
-0.000640,0.401250
-0.000600,0.401250
-0.000560,0.401250
-0.000520,0.401250
-0.000480,0.401250
-0.000440,0.401250
-0.000400,0.401250
-0.000360,0.401250
-0.000320,0.481250
-0.000280,0.801250
-0.000240,1.041250
-0.000200,1.281250
-0.000160,1.441250
-0.000120,1.761250
-0.000080,1.921250
-0.000040,2.161250
0.000000,2.321250
0.000040,2.481250
0.000080,2.641250
0.000120,2.961250
0.000160,3.121250
0.000200,3.201250
0.000240,3.441250
0.000280,3.521250
0.000320,3.681250
0.000360,3.921250
0.000400,4.081250
0.000440,4.161250
0.000480,4.321250
0.000520,4.481250
0.000560,4.641250
0.000600,4.641250
0.000640,4.801250
0.000680,4.881250
0.000720,5.041250
0.000760,5.121250
0.000800,5.201250
0.000840,5.361250
0.000880,5.441250
0.000920,5.441250
0.000960,5.601250
0.001000,5.681250
0.001040,5.761250
0.001080,5.841250
0.001120,5.921250
0.001160,6.001250
0.001200,6.001250
0.001240,6.161250
0.001280,6.161250
0.001320,6.161250
0.001360,6.321250
0.001400,6.321250
0.001440,6.401250
0.001480,6.401250
0.001520,6.561250
0.001560,6.561250
0.001600,6.561250
0.001640,6.561250
0.001680,6.641250
0.001720,6.641250
0.001760,6.721250
0.001800,6.641250
0.001840,6.721250
0.001880,6.641250
0.001920,6.721250
0.001960,6.801250
0.002000,6.721250
0.002040,6.721250
0.002080,6.721250
0.002120,6.721250
0.002160,6.721250
0.002200,6.721250
0.002240,6.721250
0.002280,6.801250
0.002320,6.721250
0.002360,6.721250
0.002400,6.721250
0.002440,6.641250
0.002480,6.641250
0.002520,6.641250
0.002560,6.561250
0.002600,6.641250
0.002640,6.561250
0.002680,6.561250
0.002720,6.561250
0.002760,6.561250
0.002800,6.481250
0.002840,6.481250
0.002880,6.481250
0.002920,6.481250
0.002960,6.241250
0.003000,6.241250
0.003040,6.241250
0.003080,6.241250
0.003120,6.241250
0.003160,6.161250
0.003200,6.081250
0.003240,6.081250
0.003280,6.001250
0.003320,6.001250
0.003360,5.921250
0.003400,5.921250
