Oscilloscope time (s), Measured current through all coilpairs (A)
-0.010000,0.401250
-0.009800,0.401250
-0.009600,0.401250
-0.009400,0.401250
-0.009200,0.401250
-0.009000,0.401250
-0.008800,0.401250
-0.008600,0.401250
-0.008400,0.401250
-0.008200,0.401250
-0.008000,0.401250
-0.007800,0.321250
-0.007600,0.401250
-0.007400,0.401250
-0.007200,0.401250
-0.007000,0.401250
-0.006800,0.401250
-0.006600,0.321250
-0.006400,0.481250
-0.006200,0.401250
-0.006000,0.401250
-0.005800,0.401250
-0.005600,0.401250
-0.005400,0.321250
-0.005200,0.321250
-0.005000,0.401250
-0.004800,0.401250
-0.004600,0.401250
-0.004400,0.401250
-0.004200,0.481250
-0.004000,0.401250
-0.003800,0.401250
-0.003600,0.401250
-0.003400,0.401250
-0.003200,0.401250
-0.003000,0.401250
-0.002800,0.401250
-0.002600,0.401250
-0.002400,0.401250
-0.002200,0.401250
-0.002000,0.401250
-0.001800,0.401250
-0.001600,0.401250
-0.001400,0.401250
-0.001200,0.801250
-0.001000,1.201250
-0.000800,1.681250
-0.000600,1.841250
-0.000400,2.321250
-0.000200,2.641250
0.000000,2.881250
0.000200,3.041250
0.000400,3.361250
0.000600,3.521250
0.000800,3.681250
0.001000,3.761250
0.001200,3.841250
0.001400,3.841250
0.001600,3.921250
0.001800,4.001250
0.002000,4.001250
0.002200,4.081250
0.002400,4.001250
0.002600,4.081250
0.002800,4.001250
0.003000,3.921250
0.003200,3.921250
0.003400,3.841250
0.003600,3.761250
0.003800,3.681250
0.004000,3.601250
0.004200,3.601250
0.004400,3.521250
0.004600,3.361250
0.004800,3.361250
0.005000,3.201250
0.005200,3.041250
0.005400,3.041250
0.005600,2.961250
0.005800,2.721250
0.006000,2.721250
0.006200,2.641250
0.006400,2.561250
0.006600,2.401250
0.006800,2.321250
0.007000,2.241250
0.007200,2.161250
0.007400,2.161250
0.007600,1.921250
0.007800,1.921250
0.008000,1.841250
0.008200,1.761250
0.008400,1.681250
0.008600,1.601250
0.008800,1.521250
0.009000,1.441250
0.009200,1.361250
0.009400,1.281250
0.009600,1.201250
0.009800,1.121250
0.010000,1.121250
0.010200,1.041250
0.010400,0.961250
0.010600,0.961250
0.010800,0.961250
0.011000,0.801250
0.011200,0.801250
0.011400,0.801250
0.011600,0.721250
0.011800,0.721250
0.012000,0.641250
0.012200,0.641250
0.012400,0.641250
0.012600,0.641250
0.012800,0.561250
0.013000,0.561250
0.013200,0.481250
0.013400,0.561250
0.013600,0.481250
0.013800,0.481250
0.014000,0.481250
0.014200,0.481250
0.014400,0.481250
0.014600,0.481250
0.014800,0.561250
0.015000,0.401250
0.015200,0.481250
0.015400,0.481250
0.015600,0.481250
0.015800,0.481250
0.016000,0.481250
0.016200,0.401250
0.016400,0.401250
0.016600,0.401250
0.016800,0.401250
0.017000,0.401250
0.017200,0.481250
0.017400,0.401250
0.017600,0.481250
0.017800,0.481250
0.018000,0.481250
0.018200,0.401250
0.018400,0.481250
0.018600,0.481250
0.018800,0.481250
0.019000,0.401250
0.019200,0.401250
0.019400,0.401250
0.019600,0.401250
0.019800,0.561250
0.020000,0.401250
0.020200,0.481250
0.020400,0.401250
0.020600,0.481250
0.020800,0.481250
0.021000,0.481250
0.021200,0.401250
0.021400,0.401250
0.021600,0.401250
0.021800,0.401250
0.022000,0.481250
0.022200,0.401250
0.022400,0.401250
0.022600,0.481250
0.022800,0.401250
0.023000,0.321250
0.023200,0.401250
0.023400,0.401250
0.023600,0.401250
0.023800,0.401250
0.024000,0.401250
0.024200,0.401250
0.024400,0.401250
0.024600,0.401250
0.024800,0.401250
0.025000,0.401250
0.025200,0.401250
0.025400,0.401250
0.025600,0.401250
0.025800,0.401250
0.026000,0.401250
0.026200,0.401250
0.026400,0.401250
0.026600,0.401250
0.026800,0.401250
0.027000,0.401250
0.027200,0.401250
0.027400,0.401250
0.027600,0.401250
0.027800,0.401250
0.028000,0.401250
0.028200,0.321250
0.028400,0.401250
0.028600,0.321250
0.028800,0.401250
0.029000,0.401250
0.029200,0.401250
0.029400,0.401250
0.029600,0.321250
0.029800,0.401250
0.030000,0.321250
0.030200,0.401250
0.030400,0.401250
0.030600,0.401250
0.030800,0.401250
0.031000,0.401250
0.031200,0.401250
0.031400,0.321250
0.031600,0.401250
0.031800,0.401250
0.032000,0.401250
0.032200,0.401250
0.032400,0.481250
0.032600,0.401250
0.032800,0.961250
0.033000,1.761250
0.033200,2.641250
0.033400,3.361250
0.033600,3.921250
0.033800,4.321250
0.034000,4.721250
0.034200,5.041250
0.034400,5.361250
0.034600,5.441250
0.034800,5.681250
0.035000,5.681250
0.035200,5.681250
0.035400,5.681250
0.035600,5.681250
0.035800,5.441250
0.036000,5.361250
0.036200,5.281250
0.036400,5.041250
0.036600,4.881250
0.036800,4.721250
0.037000,4.401250
0.037200,4.241250
0.037400,4.001250
0.037600,3.841250
0.037800,3.601250
0.038000,3.441250
0.038200,3.201250
0.038400,3.041250
0.038600,2.881250
0.038800,2.641250
0.039000,2.561250
0.039200,2.321250
0.039400,2.241250
0.039600,2.081250
0.039800,1.921250
0.040000,1.841250
0.040200,1.681250
0.040400,1.521250
0.040600,1.441250
0.040800,1.361250
0.041000,1.201250
0.041200,1.121250
0.041400,1.041250
0.041600,0.961250
0.041800,0.801250
0.042000,0.801250
0.042200,0.801250
0.042400,0.641250
0.042600,0.641250
0.042800,0.561250
0.043000,0.481250
0.043200,0.481250
0.043400,0.481250
0.043600,0.481250
0.043800,0.481250
0.044000,0.401250
0.044200,0.401250
0.044400,0.321250
0.044600,0.401250
0.044800,0.401250
0.045000,0.321250
0.045200,0.401250
0.045400,0.401250
